Timestamp,Company,Sales,Net Profit,OPM,EPS
Mar 2022,VOLTAS,9499.0,136.0,0.05,4.08
Mar 2023,VOLTAS,12481.0,248.0,0.03,7.62
Mar 2024,VOLTAS,14042.0,454.0,0.04,13.81
Mar 2022,BLUESTARCO,7977.0,401.0,0.06,20.79
Mar 2023,BLUESTARCO,9685.0,414.0,0.07,20.18
Mar 2024,BLUESTARCO,10325.0,500.0,0.07,24.34
Mar 2022,CROMPTON,6870.0,476.0,0.11,7.28
Mar 2023,CROMPTON,7313.0,442.0,0.1,6.84
Mar 2024,CROMPTON,7574.0,472.0,0.1,7.37
Mar 2022,ORIENTELEC,2529.0,76.0,0.06,3.56
Mar 2023,ORIENTELEC,2812.0,75.0,0.05,3.53
Mar 2024,ORIENTELEC,2861.0,70.0,0.05,3.27
Mar 2022,HAVELLS,16911.0,1072.0,0.1,17.11
Mar 2023,HAVELLS,18590.0,1271.0,0.1,20.28
Mar 2024,HAVELLS,19562.0,1391.0,0.1,22.2
Mar 2022,SYMPHONY,1188.0,116.0,0.12,16.64
Mar 2023,SYMPHONY,1156.0,148.0,0.15,21.48
Mar 2024,SYMPHONY,1385.0,212.0,0.18,30.75
Mar 2022,WHIRLPOOL,6210.0,185.0,0.05,14.57
Mar 2023,WHIRLPOOL,6333.0,167.0,0.05,13.19
Mar 2024,WHIRLPOOL,6794.0,239.0,0.06,18.85
